"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2024","1.616,00","1.614,80","1.622,00","1.610,40","484,82K","0,39%"
"13.02.2024","1.609,80","1.592,80","1.616,40","1.589,20","1,31M","1,31%"
"12.02.2024","1.589,00","1.590,60","1.599,80","1.567,20","1,09M","0,13%"
"09.02.2024","1.587,00","1.556,00","1.588,80","1.555,00","1,21M","1,86%"
"08.02.2024","1.558,00","1.590,20","1.591,00","1.556,40","1,59M","-2,09%"
"07.02.2024","1.591,20","1.603,40","1.603,40","1.590,60","1,12M","-0,76%"
"06.02.2024","1.603,40","1.627,80","1.627,80","1.597,20","1,65M","-1,10%"
"05.02.2024","1.621,20","1.623,00","1.627,00","1.604,40","1,74M","-0,41%"
"02.02.2024","1.627,80","1.668,60","1.710,00","1.625,00","7,23M","-2,64%"
"01.02.2024","1.672,00","1.656,00","1.679,80","1.650,40","1,55M","0,48%"
"31.01.2024","1.664,00","1.686,00","1.688,80","1.647,80","1,96M","-1,18%"
"30.01.2024","1.683,80","1.635,20","1.685,00","1.631,00","2,08M","3,31%"
"29.01.2024","1.629,80","1.609,40","1.630,60","1.592,20","1,73M","1,74%"
"26.01.2024","1.602,00","1.609,40","1.615,60","1.590,40","875,08K","-0,44%"
"25.01.2024","1.609,00","1.616,00","1.623,80","1.601,00","665,50K","-0,31%"
"24.01.2024","1.614,00","1.605,00","1.619,60","1.595,20","951,23K","0,60%"
"23.01.2024","1.604,40","1.620,00","1.624,80","1.586,20","1,30M","-0,93%"
"22.01.2024","1.619,40","1.584,00","1.619,60","1.577,00","1,73M","2,36%"
"19.01.2024","1.582,00","1.540,00","1.583,80","1.525,00","1,74M","2,61%"
"18.01.2024","1.541,80","1.563,40","1.568,80","1.537,60","1,01M","-1,18%"
"17.01.2024","1.560,20","1.550,20","1.564,80","1.546,40","622,75K","0,65%"
"16.01.2024","1.550,20","1.548,00","1.554,00","1.529,00","810,75K","0,13%"
"15.01.2024","1.548,20","1.565,00","1.575,00","1.536,40","1,37M","-0,85%"
"12.01.2024","1.561,40","1.545,40","1.573,80","1.527,40","2,29M","1,31%"
"11.01.2024","1.541,20","1.444,00","1.555,00","1.444,00","5,64M","6,79%"
"10.01.2024","1.443,20","1.434,00","1.448,20","1.417,20","1,08M","0,60%"
"09.01.2024","1.434,60","1.469,00","1.469,00","1.432,00","1,01M","-2,21%"
"08.01.2024","1.467,00","1.444,80","1.467,80","1.441,00","758,71K","1,71%"
"05.01.2024","1.442,40","1.419,00","1.444,60","1.410,20","505,75K","1,62%"
"04.01.2024","1.419,40","1.427,00","1.435,00","1.412,20","311,73K","-0,53%"
"03.01.2024","1.427,00","1.407,00","1.431,60","1.403,40","458,13K","1,42%"
"29.12.2023","1.407,00","1.408,40","1.409,80","1.392,00","558,55K","-0,07%"
"28.12.2023","1.408,00","1.384,00","1.414,00","1.375,20","891,81K","1,88%"
"27.12.2023","1.382,00","1.375,60","1.389,40","1.375,00","646,62K","0,49%"
"26.12.2023","1.375,20","1.343,80","1.377,20","1.338,00","767,95K","2,54%"
"25.12.2023","1.341,20","1.333,80","1.345,80","1.333,00","514,97K","0,55%"
"22.12.2023","1.333,80","1.336,60","1.354,80","1.327,00","798,50K","-0,21%"
"21.12.2023","1.336,60","1.328,00","1.349,80","1.319,60","959,51K","0,50%"
"20.12.2023","1.330,00","1.310,20","1.336,60","1.310,00","964,08K","1,74%"
"19.12.2023","1.307,20","1.283,00","1.313,00","1.273,60","1,10M","1,87%"
"18.12.2023","1.283,20","1.275,40","1.309,00","1.273,60","967,37K","0,75%"
"15.12.2023","1.273,60","1.216,40","1.273,60","1.216,40","731,35K","4,69%"
"14.12.2023","1.216,60","1.248,00","1.250,80","1.216,60","551,63K","-2,31%"
"13.12.2023","1.245,40","1.240,60","1.252,80","1.234,00","555,78K","0,39%"
"12.12.2023","1.240,60","1.251,00","1.261,20","1.235,20","790,92K","-0,83%"
"11.12.2023","1.251,00","1.269,00","1.289,40","1.246,20","811,05K","-1,53%"
"08.12.2023","1.270,40","1.247,60","1.274,80","1.244,20","715,62K","2,04%"
"07.12.2023","1.245,00","1.252,00","1.265,00","1.228,20","916,19K","-0,56%"
"06.12.2023","1.252,00","1.299,00","1.303,60","1.250,00","879,84K","-3,34%"
"05.12.2023","1.295,20","1.275,00","1.297,00","1.263,60","771,37K","1,66%"
"04.12.2023","1.274,00","1.257,00","1.281,60","1.241,80","806,55K","1,35%"
"01.12.2023","1.257,00","1.265,00","1.278,60","1.254,00","757,90K","-0,88%"
"30.11.2023","1.268,20","1.297,20","1.299,60","1.266,00","789,78K","-2,24%"
"29.11.2023","1.297,20","1.302,40","1.309,40","1.285,20","484,74K","-0,54%"
"28.11.2023","1.304,20","1.293,00","1.315,60","1.286,00","741,76K","0,77%"
"27.11.2023","1.294,20","1.317,20","1.317,20","1.284,20","1,03M","-1,75%"
"24.11.2023","1.317,20","1.330,40","1.334,20","1.308,60","738,88K","-0,99%"
"23.11.2023","1.330,40","1.352,80","1.354,80","1.323,20","604,92K","-1,44%"
"22.11.2023","1.349,80","1.326,00","1.351,80","1.325,40","682,99K","1,72%"
"21.11.2023","1.327,00","1.330,40","1.333,20","1.315,00","954,10K","-0,41%"
"20.11.2023","1.332,40","1.351,20","1.356,00","1.330,20","642,59K","-1,38%"
"17.11.2023","1.351,00","1.348,40","1.358,80","1.313,60","678,00K","0,01%"
"16.11.2023","1.350,80","1.359,60","1.375,80","1.344,60","561,00K","-0,68%"
"15.11.2023","1.360,00","1.355,00","1.363,80","1.345,00","516,56K","0,24%"
"14.11.2023","1.356,80","1.380,00","1.380,00","1.350,40","611,52K","-1,60%"
"13.11.2023","1.378,80","1.364,00","1.388,40","1.352,60","489,18K","0,88%"
"10.11.2023","1.366,80","1.360,00","1.372,80","1.349,00","750,49K","0,56%"
"09.11.2023","1.359,20","1.377,80","1.377,80","1.354,00","817,88K","-1,16%"
"08.11.2023","1.375,20","1.391,20","1.397,40","1.370,00","662,26K","-1,18%"
"07.11.2023","1.391,60","1.386,00","1.400,00","1.369,00","732,61K","0,39%"
"06.11.2023","1.386,20","1.374,00","1.399,00","1.373,00","542,61K","1,03%"
"03.11.2023","1.372,00","1.359,60","1.379,40","1.341,00","507,18K","0,90%"
"02.11.2023","1.359,80","1.347,20","1.369,60","1.347,20","444,48K","0,65%"
"01.11.2023","1.351,00","1.357,60","1.364,00","1.343,00","288,55K","-0,28%"
"31.10.2023","1.354,80","1.368,00","1.374,00","1.347,60","470,12K","-1,25%"
"30.10.2023","1.372,00","1.363,00","1.384,40","1.354,20","482,10K","0,68%"
